"Native" "Bytes" "Description"
"228" "4⃣" "\x34\xE2\x83\xA3" "DIGIT FOUR + COMBINING ENCLOSING KEYCAP"
"229" "#⃣" "\x23\xE2\x83\xA3" "NUMBER SIGN + COMBINING ENCLOSING KEYCAP"
"230" "™" "\xE2\x84\xA2" "TRADE MARK SIGN"
"231" "ℹ" "\xE2\x84\xB9" "INFORMATION SOURCE"
"232" "↔" "\xE2\x86\x94" "LEFT RIGHT ARROW"
"233" "↕" "\xE2\x86\x95" "UP DOWN ARROW"
"234" "↖" "\xE2\x86\x96" "NORTH WEST ARROW"
"235" "↗" "\xE2\x86\x97" "NORTH EAST ARROW"
"236" "↘" "\xE2\x86\x98" "SOUTH EAST ARROW"
"237" "↙" "\xE2\x86\x99" "SOUTH WEST ARROW"
"238" "↩" "\xE2\x86\xA9" "LEFTWARDS ARROW WITH HOOK"
"239" "↪" "\xE2\x86\xAA" "RIGHTWARDS ARROW WITH HOOK"
"240" "⌚" "\xE2\x8C\x9A" "WATCH"
"241" "⌛" "\xE2\x8C\x9B" "HOURGLASS"
"242" "⏩" "\xE2\x8F\xA9" "BLACK RIGHT-POINTING DOUBLE TRIANGLE"
"243" "⏪" "\xE2\x8F\xAA" "BLACK LEFT-POINTING DOUBLE TRIANGLE"
"244" "⏫" "\xE2\x8F\xAB" "BLACK UP-POINTING DOUBLE TRIANGLE"
"245" "⏬" "\xE2\x8F\xAC" "BLACK DOWN-POINTING DOUBLE TRIANGLE"
"246" "⏰" "\xE2\x8F\xB0" "ALARM CLOCK"
"247" "⏳" "\xE2\x8F\xB3" "HOURGLASS WITH FLOWING SAND"
"248" "▪" "\xE2\x96\xAA" "BLACK SMALL SQUARE"
"249" "▫" "\xE2\x96\xAB" "WHITE SMALL SQUARE"
"250" "▶" "\xE2\x96\xB6" "BLACK RIGHT-POINTING TRIANGLE"
"251" "◀" "\xE2\x97\x80" "BLACK LEFT-POINTING TRIANGLE"
"252" "◻" "\xE2\x97\xBB" "WHITE MEDIUM SQUARE"
"253" "◼" "\xE2\x97\xBC" "BLACK MEDIUM SQUARE"
"254" "◽" "\xE2\x97\xBD" "WHITE MEDIUM SMALL SQUARE"
"255" "◾" "\xE2\x97\xBE" "BLACK MEDIUM SMALL SQUARE"
"256" "☀" "\xE2\x98\x80" "BLACK SUN WITH RAYS"
"257" "☁" "\xE2\x98\x81" "CLOUD"
"258" "☎" "\xE2\x98\x8E" "BLACK TELEPHONE"
"259" "☑" "\xE2\x98\x91" "BALLOT BOX WITH CHECK"
"260" "☔" "\xE2\x98\x94" "UMBRELLA WITH RAIN DROPS"
"261" "☕" "\xE2\x98\x95" "HOT BEVERAGE"
"262" "☝" "\xE2\x98\x9D" "WHITE UP POINTING INDEX"
"263" "☺" "\xE2\x98\xBA" "WHITE SMILING FACE"
"264" "♈" "\xE2\x99\x88" "ARIES"
"265" "♉" "\xE2\x99\x89" "TAURUS"
"266" "♊" "\xE2\x99\x8A" "GEMINI"
"267" "♋" "\xE2\x99\x8B" "CANCER"
"268" "♌" "\xE2\x99\x8C" "LEO"
"269" "♍" "\xE2\x99\x8D" "VIRGO"
"270" "♎" "\xE2\x99\x8E" "LIBRA"
"271" "♏" "\xE2\x99\x8F" "SCORPIUS"
"272" "♐" "\xE2\x99\x90" "SAGITTARIUS"
"273" "♑" "\xE2\x99\x91" "CAPRICORN"
"274" "♒" "\xE2\x99\x92" "AQUARIUS"
"275" "♓" "\xE2\x99\x93" "PISCES"
"276" "♠" "\xE2\x99\xA0" "BLACK SPADE SUIT"
"277" "♣" "\xE2\x99\xA3" "BLACK CLUB SUIT"
"278" "♥" "\xE2\x99\xA5" "BLACK HEART SUIT"
"279" "♦" "\xE2\x99\xA6" "BLACK DIAMOND SUIT"
"280" "♨" "\xE2\x99\xA8" "HOT SPRINGS"
"281" "♻" "\xE2\x99\xBB" "BLACK UNIVERSAL RECYCLING SYMBOL"
"282" "♿" "\xE2\x99\xBF" "WHEELCHAIR SYMBOL"
"283" "⚓" "\xE2\x9A\x93" "ANCHOR"
"284" "⚠" "\xE2\x9A\xA0" "WARNING SIGN"
"285" "⚡" "\xE2\x9A\xA1" "HIGH VOLTAGE SIGN"
"286" "⚪" "\xE2\x9A\xAA" "MEDIUM WHITE CIRCLE"
"287" "⚫" "\xE2\x9A\xAB" "MEDIUM BLACK CIRCLE"
"288" "⚽" "\xE2\x9A\xBD" "SOCCER BALL"
"289" "⚾" "\xE2\x9A\xBE" "BASEBALL"
"290" "⛄" "\xE2\x9B\x84" "SNOWMAN WITHOUT SNOW"
"291" "⛅" "\xE2\x9B\x85" "SUN BEHIND CLOUD"
"292" "⛎" "\xE2\x9B\x8E" "OPHIUCHUS"
"293" "⛔" "\xE2\x9B\x94" "NO ENTRY"
"294" "⛪" "\xE2\x9B\xAA" "CHURCH"
"295" "⛲" "\xE2\x9B\xB2" "FOUNTAIN"
"296" "⛳" "\xE2\x9B\xB3" "FLAG IN HOLE"
"297" "⛵" "\xE2\x9B\xB5" "SAILBOAT"
"298" "⛺" "\xE2\x9B\xBA" "TENT"
"299" "⛽" "\xE2\x9B\xBD" "FUEL PUMP"
"300" "⤴" "\xE2\xA4\xB4" "ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS"
"301" "⤵" "\xE2\xA4\xB5" "ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS"
"302" "⬅" "\xE2\xAC\x85" "LEFTWARDS BLACK ARROW"
"303" "⬆" "\xE2\xAC\x86" "UPWARDS BLACK ARROW"
"304" "⬇" "\xE2\xAC\x87" "DOWNWARDS BLACK ARROW"
"305" "⬛" "\xE2\xAC\x9B" "BLACK LARGE SQUARE"
"306" "⬜" "\xE2\xAC\x9C" "WHITE LARGE SQUARE"
"307" "⭐" "\xE2\xAD\x90" "WHITE MEDIUM STAR"
"308" "⭕" "\xE2\xAD\x95" "HEAVY LARGE CIRCLE"
"309" "〰" "\xE3\x80\xB0" "WAVY DASH"
"310" "〽" "\xE3\x80\xBD" "PART ALTERNATION MARK"
"311" "㊗" "\xE3\x8A\x97" "CIRCLED IDEOGRAPH CONGRATULATION"
"312" "㊙" "\xE3\x8A\x99" "CIRCLED IDEOGRAPH SECRET"
"313" "🀄" "\xF0\x9F\x80\x84" "MAHJONG TILE RED DRAGON"
"314" "🃏" "\xF0\x9F\x83\x8F" "PLAYING CARD BLACK JOKER"
"315" "🌀" "\xF0\x9F\x8C\x80" "CYCLONE"
"316" "🌁" "\xF0\x9F\x8C\x81" "FOGGY"
"317" "🌂" "\xF0\x9F\x8C\x82" "CLOSED UMBRELLA"
"318" "🌃" "\xF0\x9F\x8C\x83" "NIGHT WITH STARS"
"319" "🌄" "\xF0\x9F\x8C\x84" "SUNRISE OVER MOUNTAINS"
"320" "🌅" "\xF0\x9F\x8C\x85" "SUNRISE"
"321" "🌆" "\xF0\x9F\x8C\x86" "CITYSCAPE AT DUSK"
"322" "🌇" "\xF0\x9F\x8C\x87" "SUNSET OVER BUILDINGS"
"323" "🌈" "\xF0\x9F\x8C\x88" "RAINBOW"
"324" "🌉" "\xF0\x9F\x8C\x89" "BRIDGE AT NIGHT"
"325" "🌊" "\xF0\x9F\x8C\x8A" "WATER WAVE"
"326" "🌋" "\xF0\x9F\x8C\x8B" "VOLCANO"
"327" "🌌" "\xF0\x9F\x8C\x8C" "MILKY WAY"
"328" "🌏" "\xF0\x9F\x8C\x8F" "EARTH GLOBE ASIA-AUSTRALIA"
"329" "🌑" "\xF0\x9F\x8C\x91" "NEW MOON SYMBOL"
"330" "🌓" "\xF0\x9F\x8C\x93" "FIRST QUARTER MOON SYMBOL"
"331" "🌔" "\xF0\x9F\x8C\x94" "WAXING GIBBOUS MOON SYMBOL"
"332" "🌕" "\xF0\x9F\x8C\x95" "FULL MOON SYMBOL"
"333" "🌙" "\xF0\x9F\x8C\x99" "CRESCENT MOON"
"334" "🌛" "\xF0\x9F\x8C\x9B" "FIRST QUARTER MOON WITH FACE"
"335" "🌟" "\xF0\x9F\x8C\x9F" "GLOWING STAR"
"336" "🌠" "\xF0\x9F\x8C\xA0" "SHOOTING STAR"
